date,hours,plays
2016-03-22,0.579,39
2016-03-23,2.292,85
2016-03-24,4.988,214
2016-03-25,2.771,72
2016-03-26,4.694,162
2016-03-27,7.735,228
2016-03-28,2.956,147
2016-03-29,1.073,71
2016-03-30,4.062,172
2016-03-31,2.342,101
2016-04-01,4.543,150
2016-04-02,2.848,102
2016-04-03,1.810,76
2016-04-04,1.633,69
2016-04-05,2.247,74
2016-04-06,2.479,79
2016-04-07,2.610,63
2016-04-08,0.724,29
2016-04-09,3.881,110
2016-04-10,0.649,68
2016-04-11,1.608,58
2016-04-12,3.536,94
2016-04-13,3.518,88
2016-04-14,1.398,71
2016-04-15,1.098,148
2016-04-16,1.895,101
2016-04-17,1.052,26
2016-04-18,0.411,38
2016-04-19,2.708,134
2016-04-20,2.700,84
2016-04-21,3.614,97
2016-04-22,1.567,63
2016-04-23,1.340,34
2016-04-24,4.966,163
2016-04-25,3.411,197
2016-04-26,1.225,89
2016-04-27,2.554,79
2016-04-28,2.953,242
2016-04-29,1.970,82
2016-04-30,2.940,119
2016-05-01,5.094,327
2016-05-02,2.836,93
2016-05-03,2.567,155
2016-05-04,2.739,98
2016-05-05,2.441,167
2016-05-06,2.985,115
2016-05-07,2.053,98
2016-05-08,3.830,166
2016-05-09,2.105,50
2016-05-10,1.294,43
2016-05-11,1.987,92
2016-05-12,3.640,103
2016-05-13,0.972,51
2016-05-14,4.453,130
2016-05-15,2.907,123
2016-05-16,1.511,98
2016-05-17,3.719,126
2016-05-18,2.982,214
2016-05-19,2.477,63
2016-05-20,2.989,109
2016-05-21,1.126,31
2016-05-22,1.870,76
2016-05-23,4.037,142
2016-05-24,3.181,101
2016-05-25,1.409,53
2016-05-26,4.649,183
2016-05-27,2.773,140
2016-05-28,2.425,145
2016-05-29,8.708,301
2016-05-30,2.017,79
2016-05-31,1.384,52
2016-06-01,1.845,90
2016-06-02,3.116,75
2016-06-03,4.089,143
2016-06-04,4.266,180
2016-06-05,4.054,127
2016-06-06,1.861,118
2016-06-07,4.135,115
2016-06-08,3.978,207
2016-06-09,6.620,171
2016-06-10,1.926,117
2016-06-11,3.390,165
2016-06-12,2.839,243
2016-06-13,4.473,148
2016-06-14,2.984,64
2016-06-15,0.673,18
2016-06-16,0.503,15
2016-06-17,3.373,109
2016-06-18,4.002,84
2016-06-19,3.450,206
2016-06-20,3.459,104
2016-06-21,2.172,57
2016-06-22,1.719,68
2016-06-23,2.427,50
2016-06-24,0.580,20
2016-06-25,2.909,102
2016-06-26,4.659,195
2016-06-27,3.639,201
2016-06-28,3.223,115
2016-06-29,4.584,172
2016-06-30,2.400,77
2016-07-01,2.125,57
2016-07-02,4.391,146
